Product_link,Product_id,Product_Name,Product_Description,Discounted_Price,Original_Price,Discount_Percentage,Fabric_Material,Neck_Type,overall_rating,votes,Customer_Rated_Rating,Customer_Review_Text,Reviewers_Username,Date_of_Review,Reviewers_Product_Images
https://www.myntra.com/tshirts/wanderlooms/wanderlooms-biker-printed-fusion-technology-cotton-t-shirt/26250066/buy,26250066,WANDERLOOMS,Biker Printed Fusion Technology Cotton T-shirt,₹599,MRP ₹999,(40% OFF),Cotton,Round Neck,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--yellow-pure-cotton-brand-logo-printed-t-shirt/19997728/buy,19997728,Roadster,Men Navy Blue & Yellow Pure Cotton Brand Logo Printed T-shirt,₹319,MRP ₹999,(68% OFF),Pure Cotton,Round Neck,4.1,10.0,['5'],"['Quality is nice, fit is just perfect. Good product']",['Kunwar Shukla'],['4 Mar 2023'],[]
https://www.myntra.com/tshirts/arrow/arrow-typography-printed-pure-cotton-t-shirt/22757204/buy,22757204,Arrow,Typography Printed Pure Cotton T-shirt,₹599,MRP ₹999,(40% OFF),Pure Cotton,Round Neck,4.4,62.0,"['5', '5', '5']","['Excellent and locve the quality of Arrow', 'Nice tshirt', 'Good']","['Db', '9809', 'Varun Kumar']","['8 Jan 2024', '7 Sept 2023', '12 Jan 2024']",[]
https://www.myntra.com/tshirts/roadster/roadster-men-printed-drop-shoulder-sleeves-pure-cotton-t-shirt/25014064/buy,25014064,Roadster,Men Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,₹395,MRP ₹1099,(64% OFF),Cotton,Round Neck,,,,,,,
https://www.myntra.com/tshirts/levis/levis-men-printed-pure-cotton-t-shirt/20516614/buy,20516614,Levis,Men Printed Pure Cotton T-shirt,₹719,MRP ₹1599,(55% OFF),Pure Cotton,Round Neck,4.2,135.0,"['3', '2', '4', '5', '5']","['Nice quality', 'Average', 'Nice colour and material, a little down from the Shoulders over nice purchase', 'Nice product, fitting is perfect and looked was very charming', 'Quality is good. Zise is perfect.']","['Nirmal Sherpa', 'Rajesh Peyala', 'Sakshi Dubey', 'Arnab Mondal', 'Sharuk']","['12 Aug 2023', '4 Feb 2023', '20 Oct 2023', '11 Sept 2023', '6 Nov 2023']",[]
https://www.myntra.com/tshirts/wrogn/wrogn-solid-drop-shoulder-sleeves-oversized-t-shirt/25826642/buy,25826642,WROGN,Solid Drop-Shoulder Sleeves Oversized T-shirt,₹549,MRP ₹1099,(50% OFF),Cotton,Round Neck,,,,,,,
https://www.myntra.com/tshirts/american+eagle+outfitters/american-eagle-outfitters-typography-printed-regular-fit-t-shirt/25604878/buy,25604878,AMERICAN EAGLE OUTFITTERS,Typography Printed Regular Fit T-shirt,₹699,MRP ₹1399,(50% OFF),Cotton,Round Neck,,,,,,,
https://www.myntra.com/tshirts/red+tape/red-tape-men-round-neck-pure-cotton-t-shirt/21670096/buy,21670096,Red Tape,Men Round Neck Pure Cotton T-shirt,₹356,MRP ₹1699,(79% OFF),Cotton,Round Neck,4|1,7.0,"['5', '5', '3', '2', '1', '4', '3', '1', '1']","['Gifted this to Dad! Perfect fit! ❤️', 'Super quality nice look', 'T-shirt is Dull', 'Quality of the t-shirt is not that good..', 'Very poor quality color faded just in 2 wash.. don’t buy this.. was not expecting this much poor quality from red tape', 'Comfortable n perfect in size.. colour is also the same as mentioned.. Fabric is cotton.. liked the product', 'Good', 'The colour looks faded!!! Bad product', ""Worst quality product. It's not expected with a brand.""]","['Arthita', 'Vijay Chandran', 'Akarsh Sharma', 'Sumedh', 'Nitin Tiwari', 'Preeti', 'Saloni Shaw', 'Binsoncj', 'Aastha']","['19 June 2023', '16 Oct 2023', '25 Apr 2023', '13 Dec 2023', '16 Oct 2023', '15 May 2023', '14 Oct 2023', '21 Dec 2023', '7 June 2023']",[]
https://www.myntra.com/tshirts/dillinger/dillinger-men-colourblocked-pure-cotton-oversized-t-shirt/23878412/buy,23878412,DILLINGER,Men Colourblocked Pure Cotton Oversized T-shirt,₹495,MRP ₹799,(38% OFF),Pure Cotton,Round Neck,4.3,11.0,,,,,
https://www.myntra.com/lounge-tshirts/xyxx/xyxx-men-yellow-n9-silver-finish-solid-lounge-t-shirts/18391060/buy,18391060,XYXX,Men Yellow N9 Silver Finish Solid Lounge T-shirts,₹353,MRP ₹599,(41% OFF),Cotton,Round Neck,4.5,49.0,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']","[""Perfect fitting tshirt with such a comfortable fabric. Also the color is very soothing. Colour doesn't fades after several washes."", 'The fabric was really good I was surprised but the product is fitting extremely well and i liked it alot', 'The quality is satisfying for what I paid. The look, comfort and fittings are perfect. Quality of the fabric is good.', 'T SHIRT IS AWESOME FABRIC IS SOFT EASY TO CLEAN LOVED IT IN THIS PRICE SUITABLE IN MY PHYSIC', 'Comfort of the cloth is good Quality of material is also good Value for money', 'Perfect for summer fashion. The fabric quality is very comfortable.', 'Loved the product. Good quality fabric used . I liked the softness of the t-shirt. I used it for a gym workout. And i used it continuously for 4 dayz and it still is odour free. Great deal at this price range', 'Very good and stylish tshirt liked it very much very nice and value for money deal and superfast delivery of Myntra made my day', 'Cloth materials is super soft and skin friendly. Perfect product for daily use. So much impressed me colour was very nice also.', 'Good product! Fabric is just awesome and the price is reasonable too. Worth it.', 'Really good quality cloth. Will order more', ""I ordered this t shirt for my hubby while ordering I was so worried as I'm ordering first time from Myntra but I'm really satisfied with the quality and material of the tshirt and also it same as shown in the picture my husband liked it very much and it fits perfectly so he is so happy with this gift....""]","['Vaishali Upadhyay', 'A T', 'Ayush Soni', 'Aamer Ansari', 'Mohammad Mujahid', 'Muskan Gupta', 'Nomaan Khan', 'Yaksh Mehta', 'Saurabh Rathore', 'Harshpreet Singh', 'Yogesh Tiwari', 'Zakiya Zafar Shaikh']","['4 Aug 2022', '30 July 2022', '2 Aug 2022', '2 Aug 2022', '6 Aug 2022', '8 Aug 2022', '9 Aug 2022', '1 Aug 2022', '10 Aug 2022', '29 July 2022', '18 Aug 2022', '4 Aug 2022']",[]
